"","rowname","PlateID","WellName","Field","Timepoint","timepoint","X","Y","FRET1","CFP.Mean","YFP.Mean","Cell.Roundness","Cell.Area.µm","dist","dfret","df.fret","Well2","Treatment","time"
"123","36",16765,"B10",3,1,"2",882,305,0.919198,2587.84,2378.74,0.990309,82.5982,6.40312423743285,0.109959,13.5879511491661,"10","FSK",2
"124","36",16765,"B10",3,1,"3",880,298,1.13771,2213.81,2518.67,0.961119,83.2017,7.28010988928052,0.328471,40.5901099675127,"10","FSK",6
"125","36",16765,"B10",3,1,"4",877,296,1.14073,2083.37,2376.57,0.956468,82.5119,3.60555127546399,0.331491,40.9633000881075,"10","FSK",10
"126","37",16765,"B10",3,1,"1",469,330,0.757946,1133.43,859.078,0.976328,74.3211,0,0,0,"10","FSK",0
"127","37",16765,"B10",3,1,"2",464,324,0.751481,1129.86,849.066,0.959156,70.6137,7.81024967590665,-0.00646500000000005,-0.852963139854298,"10","FSK",2
"128","37",16765,"B10",3,1,"3",462,318,0.774298,1125,871.085,0.948465,75.1833,6.32455532033676,0.016352,2.15740963076526,"10","FSK",6
"129","37",16765,"B10",3,1,"4",458,313,0.805307,1111.7,895.259,0.980887,76.4766,6.40312423743285,0.047361,6.24859818509498,"10","FSK",10
"130","38",16765,"B10",3,1,"1",776,344,0.836394,559.424,467.899,0.900122,54.4906,0,0,0,"10","FSK",0
"131","38",16765,"B10",3,1,"2",770,340,0.826287,552.716,456.702,0.837274,55.008,7.21110255092798,-0.010107,-1.20840178193531,"10","FSK",2
"132","38",16765,"B10",3,1,"3",768,331,0.83806,573.503,480.63,0.910812,53.1111,9.21954445729289,0.00166600000000006,0.199188420768209,"10","FSK",6
"133","38",16765,"B10",3,1,"4",765,328,0.839777,572.839,481.057,0.899892,55.6977,4.24264068711928,0.00338300000000002,0.404474446253802,"10","FSK",10
"134","39",16765,"B10",3,1,"1",610,348,0.584567,887.295,518.683,0.870919,38.6263,0,0,0,"10","FSK",0
"135","39",16765,"B10",3,1,"2",604,341,0.580823,795.502,462.046,0.818272,43.4546,9.21954445729289,-0.00374399999999997,-0.640474060287353,"10","FSK",2
"136","39",16765,"B10",3,1,"3",602,335,0.586426,820.215,480.996,0.822248,38.8849,6.32455532033676,0.00185900000000006,0.318013161878802,"10","FSK",6
"137","39",16765,"B10",3,1,"4",599,331,0.592132,811.548,480.544,0.870814,36.6432,5,0.00756500000000004,1.29412026337444,"10","FSK",10
"138","40",16765,"B10",3,1,"1",949,379,0.83066,575.527,478.067,0.948228,70.6999,0,0,0,"10","FSK",0
"139","40",16765,"B10",3,1,"2",942,374,0.822399,640.756,526.957,0.960743,73.8038,8.60232526704263,-0.00826099999999996,-0.994510389328963,"10","FSK",2
"140","40",16765,"B10",3,1,"3",941,367,0.899807,574.204,516.673,0.966377,73.0278,7.07106781186548,0.0691470000000001,8.32434449714686,"10","FSK",6
"141","40",16765,"B10",3,1,"4",937,363,0.927674,537.971,499.061,0.991979,70.1826,5.65685424949238,0.097014,11.679146702622,"10","FSK",10
"142","41",16765,"B10",3,1,"1",147,384,0.789249,1202.97,949.441,0.9668,52.1627,0,0,0,"10","FSK",0
"143","41",16765,"B10",3,1,"2",141,378,0.81767,1509.83,1234.54,0.963209,54.4044,8.48528137423857,0.028421,3.60101818310825,"10","FSK",2
"144","41",16765,"B10",3,1,"3",139,372,0.885442,1255.62,1111.78,0.970566,52.5076,6.32455532033676,0.096193,12.1879153473745,"10","FSK",6
"145","41",16765,"B10",3,1,"4",135,367,0.92606,1020.34,944.899,0.9668,52.1627,6.40312423743285,0.136811,17.3343266827072,"10","FSK",10
"146","42",16765,"B10",3,1,"1",875,392,0.827526,897.551,742.747,0.934345,58.0256,0,0,0,"10","FSK",0
"147","42",16765,"B10",3,1,"2",871,385,0.830068,1025.56,851.281,0.947091,62.078,8.06225774829855,0.00254200000000004,0.307180680727862,"10","FSK",2
"148","42",16765,"B10",3,1,"3",865,379,0.874133,892.26,779.954,0.949412,62.3366,8.48528137423857,0.0466070000000001,5.63208890113423,"10","FSK",6
"149","42",16765,"B10",3,1,"4",862,375,0.914717,795.528,727.684,0.945327,60.526,5,0.087191,10.5363456858153,"10","FSK",10
"150","43",16765,"B10",3,1,"1",644,406,0.847367,886.068,750.824,0.954709,100.618,0,0,0,"10","FSK",0
"151","43",16765,"B10",3,1,"2",635,400,0.836821,1143.58,956.971,0.949367,101.394,10.816653826392,-0.0105459999999999,-1.24456109336332,"10","FSK",2
"152","43",16765,"B10",3,1,"3",634,393,0.861403,904.914,779.496,0.961334,101.825,7.07106781186548,0.014036,1.65642513810427,"10","FSK",6
"153","43",16765,"B10",3,1,"4",632,389,0.877283,763.572,669.869,0.944694,98.8074,4.47213595499958,0.0299160000000001,3.53046554798571,"10","FSK",10
"154","44",16765,"B10",3,1,"1",379,445,0.827609,1331.89,1102.28,0.92005,67.1649,0,0,0,"10","FSK",0
"155","44",16765,"B10",3,1,"2",374,439,0.858529,1693.97,1454.32,0.906897,66.9062,7.81024967590665,0.0309199999999999,3.73606376924368,"10","FSK",2
"156","44",16765,"B10",3,1,"3",374,432,0.99888,1241.44,1240.05,0.915861,66.6476,7,0.171271,20.6946758674688,"10","FSK",6
"157","44",16765,"B10",3,1,"4",368,428,1.05314,989.331,1041.91,0.898569,65.8716,7.21110255092798,0.225531,27.2509119644663,"10","FSK",10
"158","45",16765,"B10",3,1,"1",240,449,0.811313,874.977,709.881,0.966199,68.5444,0,0,0,"10","FSK",0
"159","45",16765,"B10",3,1,"2",235,442,0.80653,925.699,746.604,0.967351,71.6483,8.60232526704263,-0.00478299999999998,-0.589538193027843,"10","FSK",2
"160","45",16765,"B10",3,1,"3",233,436,0.844523,837.37,707.178,0.956367,68.8031,6.32455532033676,0.0332100000000001,4.09336470634639,"10","FSK",6
"161","45",16765,"B10",3,1,"4",229,432,0.901447,743.446,670.177,0.96691,68.6306,5.65685424949238,0.090134,11.1096457224277,"10","FSK",10
